observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
9942656,2017-03-10 13:14:03,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-02-21,52,0,50,-9999,-9999
9942758,2017-03-10 13:14:03,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-03-01,60,0,50,-9999,-9999
10018318,2017-03-30 12:23:46,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-03-10,69,0,50,-9999,-9999
10239504,2017-04-05 12:49:13,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-03-30,89,0,50,-9999,-9999
10318259,2017-04-13 12:57:35,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-04-05,95,0,50,-9999,-9999
10428591,2017-04-20 11:38:35,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-04-13,103,0,50,-9999,-9999
10529214,2017-05-03 12:51:44,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-04-20,110,0,50,-9999,-9999
10703309,2017-05-09 11:47:15,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-04-27,117,0,50,-9999,-9999
10703411,2017-05-09 11:47:15,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-05-03,123,0,50,-9999,-9999
10761878,2017-05-16 13:19:17,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-05-09,129,0,50,-9999,-9999
10838770,2017-05-25 12:54:13,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-05-16,136,0,50,-9999,-9999
10931185,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2017-05-25,145,0,50,-9999,-9999
10986356,2017-06-08 14:01:43,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-06-01,152,0,50,-9999,-9999
11925147,-9999,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-09-20,263,0,-9999,-9999,-9999
12071811,-9999,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-10-06,279,0,-9999,-9999,-9999
12106198,-9999,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-10-10,283,0,-9999,-9999,-9999
12152526,-9999,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-10-16,289,0,-9999,-9999,-9999
12207856,2017-10-30 13:47:35,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3205,501,Open flowers,2017-10-23,296,0,50,-9999,-9999
9942967,2017-03-10 13:14:59,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-02-21,52,0,50,-9999,-9999
9943089,2017-03-10 13:14:59,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-03-01,60,0,50,-9999,-9999
10018441,2017-03-30 12:24:56,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-03-10,69,0,50,-9999,-9999
10239640,2017-04-05 12:50:22,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-03-30,89,-1,50,-9999,-9999
10318425,2017-04-13 13:03:27,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-04-05,95,0,50,-9999,-9999
10428714,2017-04-20 11:40:31,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-04-13,103,0,50,-9999,-9999
10529347,2017-05-03 12:55:07,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-04-20,110,0,50,-9999,-9999
10703534,2017-05-09 11:52:33,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-04-27,117,0,50,-9999,-9999
10703656,2017-05-09 11:52:33,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-05-03,123,0,50,-9999,-9999
10762583,2017-05-16 13:20:36,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-05-09,129,0,50,-9999,-9999
10838898,2017-05-25 12:59:11,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-05-16,136,0,50,-9999,-9999
10931380,-9999,5509,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3206,501,Open flowers,2017-05-25,145,0,50,-9999,-9999
10740785,2017-05-15 15:08:00,681,41.296783,-105.5746,2196,WY,27,Populus,tremuloides,quaking aspen,Plantae,3340,501,Open flowers,2017-05-01,121,0,50,-9999,-9999
10829957,2017-05-16 09:24:17,681,41.296783,-105.5746,2196,WY,27,Populus,tremuloides,quaking aspen,Plantae,3340,501,Open flowers,2017-05-12,132,0,50,-9999,-9999
