observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
7216008,2016-03-16 12:32:05,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-03-09,69,0,50,-9999,-9999
7264813,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-03-16,76,0,50,-9999,-9999
7285085,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-03-19,79,0,-9999,-9999,-9999
7287905,2016-03-20 16:12:46,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-03-19,79,0,50,-9999,-9999
7392919,2016-04-03 09:03:48,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-03-23,83,0,50,-9999,-9999
7426898,2016-04-08 06:43:15,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-04-03,94,1,50,50-74%,-9999
7492298,2016-04-16 12:01:22,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-04-08,99,1,50,75-94%,-9999
7597941,2016-04-25 11:41:55,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-04-16,107,0,50,-9999,-9999
7674078,2016-04-30 07:47:48,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-04-25,116,0,50,-9999,-9999
7723086,2016-05-08 12:19:07,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-04-30,121,0,50,-9999,-9999
7792368,2016-06-02 13:14:30,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-05-08,129,0,50,-9999,-9999
8002388,2016-07-19 11:00:42,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-06-02,154,0,50,-9999,-9999
8292943,2016-09-18 13:28:14,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-07-19,201,0,50,-9999,-9999
8700859,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-09-18,262,0,50,-9999,-9999
9135713,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-10-24,298,0,-9999,-9999,-9999
9236077,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-11-04,309,0,-9999,-9999,-9999
9291254,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-11-11,316,0,-9999,-9999,-9999
9367632,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-11-18,323,0,-9999,-9999,-9999
9424316,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-11-28,333,0,-9999,-9999,-9999
9478022,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-12-04,339,0,50,-9999,-9999
9545174,-9999,2792,35.64893,-78.816948,114,NC,97,Betula,alleghaniensis,yellow birch,Plantae,6558,501,Open flowers,2016-12-17,352,0,-9999,-9999,-9999
7229292,2016-03-17 09:16:27,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-03-11,71,0,50,-9999,-9999
7269238,2016-03-30 09:03:27,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-03-17,77,0,50,-9999,-9999
7388004,2016-04-20 17:50:06,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-03-30,90,0,50,-9999,-9999
7638888,2016-05-09 18:44:32,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-04-13,104,0,50,-9999,-9999
7638954,2016-05-09 18:44:32,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-04-20,111,0,50,-9999,-9999
7805075,2016-05-16 12:28:24,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-04-27,118,0,50,-9999,-9999
7805141,2016-05-16 12:28:24,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-05-09,130,0,50,-9999,-9999
7859449,2016-06-01 11:39:47,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-05-16,137,0,50,-9999,-9999
7993434,2016-06-08 13:24:25,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-06-01,153,0,50,-9999,-9999
8047202,2016-06-15 12:55:19,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-06-08,160,0,50,-9999,-9999
8101754,2016-06-24 11:41:38,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-06-15,167,0,50,-9999,-9999
8157066,2016-07-05 11:43:18,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-06-22,174,0,50,-9999,-9999
8219781,2016-07-13 11:44:20,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-07-05,187,0,50,-9999,-9999
8261997,2016-07-19 13:53:21,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-07-13,195,0,50,-9999,-9999
8298205,2016-07-25 09:16:40,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-07-19,201,0,50,-9999,-9999
8324122,2016-08-17 12:08:53,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-07-25,207,0,50,-9999,-9999
8458127,2016-09-07 13:09:18,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-08-17,230,0,50,-9999,-9999
8614454,2016-09-16 10:59:33,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-09-07,251,0,50,-9999,-9999
8690780,2016-09-21 13:07:46,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-09-16,260,0,50,-9999,-9999
8727500,2016-10-03 11:24:44,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-09-21,265,0,50,-9999,-9999
8963816,2016-10-07 14:02:12,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-10-03,277,0,50,-9999,-9999
9007797,2016-10-10 07:49:55,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
9023387,2016-10-18 11:54:15,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-10-10,284,0,50,-9999,-9999
9091543,2016-10-25 09:41:27,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-10-18,292,0,50,-9999,-9999
9142100,2016-11-08 11:57:20,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-10-25,299,0,50,-9999,-9999
9269754,2017-03-01 13:12:13,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-11-02,307,0,50,-9999,-9999
9269820,2017-03-01 13:12:13,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,501,Open flowers,2016-11-08,313,0,50,-9999,-9999
7462088,2016-04-05 21:30:17,8898,35.688751,-83.501083,581,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29881,501,Open flowers,2016-04-03,94,0,50,-9999,-9999
7596792,2016-04-18 15:27:47,8898,35.688751,-83.501083,581,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29881,501,Open flowers,2016-04-12,103,0,50,-9999,-9999
7617908,2017-05-18 08:05:25,8898,35.688751,-83.501083,581,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29881,501,Open flowers,2016-04-16,107,0,50,-9999,-9999
9543058,2017-03-30 12:53:55,8898,35.688751,-83.501083,581,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29881,501,Open flowers,2016-12-15,350,0,50,-9999,-9999
12153387,-9999,8898,35.688751,-83.501083,581,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29881,501,Open flowers,2016-07-13,195,0,50,-9999,-9999
7433668,2016-04-27 07:21:34,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29894,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7698045,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29894,501,Open flowers,2016-04-24,115,0,50,-9999,-9999
9229764,2017-03-30 12:37:30,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29894,501,Open flowers,2016-11-03,308,0,50,-9999,-9999
9255550,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29894,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
7433689,2016-04-27 07:21:34,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29895,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7698066,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29895,501,Open flowers,2016-04-24,115,0,50,-9999,-9999
9229785,2017-03-30 12:37:30,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29895,501,Open flowers,2016-11-03,308,0,50,-9999,-9999
9255571,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29895,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
7433853,2016-04-27 07:21:34,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29909,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7698230,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29909,501,Open flowers,2016-04-24,115,0,50,-9999,-9999
9229949,2017-03-30 12:37:30,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29909,501,Open flowers,2016-11-03,308,0,50,-9999,-9999
9255725,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29909,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
7433864,2016-04-27 07:21:34,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29910,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7698241,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29910,501,Open flowers,2016-04-24,115,0,50,-9999,-9999
9229960,2017-03-30 12:37:30,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29910,501,Open flowers,2016-11-03,308,0,50,-9999,-9999
9255736,-9999,8899,35.610474,-83.423431,1529,NC,97,Betula,alleghaniensis,yellow birch,Plantae,29910,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
7763197,2016-05-11 17:37:18,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7763413,2016-05-11 17:37:18,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-04-19,110,0,50,-9999,-9999
7823984,2016-05-17 20:38:15,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-05-11,132,0,50,-9999,-9999
7873628,2016-05-24 20:25:47,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-05-17,138,0,50,-9999,-9999
7931598,2016-06-02 18:02:09,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-05-24,145,0,50,-9999,-9999
8003457,2016-06-09 11:56:56,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-06-01,153,0,50,-9999,-9999
8055122,2016-09-06 19:38:14,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-06-08,160,0,50,-9999,-9999
8605916,2016-09-13 16:31:33,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-09-06,250,0,50,-9999,-9999
8665139,2016-09-22 11:30:56,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-09-13,257,0,50,-9999,-9999
8734463,-9999,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-09-20,264,0,50,-9999,-9999
9255248,2017-01-23 13:23:48,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29912,501,Open flowers,2016-10-07,281,0,50,-9999,-9999
7763208,2016-05-11 17:37:18,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29913,501,Open flowers,2016-04-02,93,0,50,-9999,-9999
7763424,2016-05-11 17:37:18,8901,35.590618,-83.470062,1794,TN,97,Betula,alleghaniensis,yellow birch,Plantae,29913,501,Open flowers,2016-04-19,110,0,50,-9999,-9999
