observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
403272,-9999,708,43.72168,-111.103851,1865,ID,27,Populus,tremuloides,quaking aspen,Plantae,826,186,Full flowering (50%),2010-04-21,111,0,-9999,-9999,-9999
403271,-9999,708,43.72168,-111.103851,1865,ID,27,Populus,tremuloides,quaking aspen,Plantae,826,501,Open flowers,2010-04-21,111,1,-9999,-9999,-9999
192331,-9999,962,44.419422,-106.588882,1328,WY,27,Populus,tremuloides,quaking aspen,Plantae,954,186,Full flowering (50%),2010-04-12,102,0,-9999,-9999,-9999
192330,-9999,962,44.419422,-106.588882,1328,WY,27,Populus,tremuloides,quaking aspen,Plantae,954,501,Open flowers,2010-04-12,102,0,-9999,-9999,-9999
236946,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-03-21,80,0,-9999,-9999,-9999
238294,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-03-23,82,0,-9999,-9999,-9999
238304,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-03-25,84,0,-9999,-9999,-9999
238314,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-03-28,87,0,-9999,-9999,-9999
238324,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-01,91,0,-9999,-9999,-9999
239959,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-04,94,0,-9999,-9999,-9999
239969,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-06,96,0,-9999,-9999,-9999
239979,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-08,98,0,-9999,-9999,-9999
239989,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-11,101,0,-9999,-9999,-9999
241608,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-14,104,0,-9999,-9999,-9999
241618,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-16,106,0,-9999,-9999,-9999
241628,-9999,637,44.34095,-72.46122,518,VT,27,Populus,tremuloides,quaking aspen,Plantae,2012,186,Full flowering (50%),2010-04-18,108,0,-9999,-9999,-9999
