observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
3272869,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-01-15,15,0,50,-9999,-9999
3364587,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-03-09,68,0,50,-9999,-9999
3369979,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-03-19,78,1,50,5-24%,-9999
3445234,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-03-28,87,1,50,95% or more,-9999
3525248,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-04-04,94,1,50,95% or more,-9999
3525354,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-04-18,108,1,50,5-24%,-9999
3529875,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-04-19,109,0,50,-9999,-9999
3554168,2014-09-19 09:38:31,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-04-23,113,0,50,-9999,-9999
4293433,2014-10-08 08:11:00,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-09-19,262,0,50,-9999,-9999
4390518,2014-10-20 09:01:19,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-10-08,281,0,50,-9999,-9999
4463155,-9999,1471,40.825874,-124.038795,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,2504,501,Open flowers,2014-10-20,293,0,50,-9999,-9999
3280489,2015-01-30 14:12:46,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-02-19,50,0,50,-9999,-9999
3299408,2015-01-30 14:12:47,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-02-26,57,0,50,-9999,-9999
3305545,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-02-26,57,0,50,-9999,-9999
3377216,2015-01-30 14:00:57,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-03-20,79,0,50,-9999,-9999
3400730,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-03-20,79,0,50,-9999,-9999
4633793,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-03-20,79,0,-9999,-9999,-9999
4932934,2015-02-18 14:25:08,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48027,501,Open flowers,2014-04-26,116,1,50,95% or more,-9999
3280500,2015-01-30 14:12:46,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48080,501,Open flowers,2014-02-19,50,0,50,-9999,-9999
3299419,2015-01-30 14:12:47,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48080,501,Open flowers,2014-02-26,57,0,50,-9999,-9999
3305556,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48080,501,Open flowers,2014-02-26,57,0,50,-9999,-9999
4932945,2015-02-18 14:25:08,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48080,501,Open flowers,2014-04-26,116,0,50,-9999,-9999
3280511,2015-01-30 14:12:46,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-02-19,50,0,50,-9999,-9999
3372836,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-01-17,17,0,50,-9999,-9999
3372868,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-02-19,50,0,50,-9999,-9999
3372900,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-03-05,64,0,50,-9999,-9999
3372932,-9999,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-03-19,78,0,50,-9999,-9999
4932668,2015-01-30 14:27:47,11436,39.261562,-121.01606,752,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,48081,501,Open flowers,2014-04-02,92,0,50,-9999,-9999
3281763,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-02-20,51,0,50,-9999,-9999
3345000,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-03-04,63,0,50,-9999,-9999
3345059,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-03-11,70,0,50,-9999,-9999
3405934,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-03-27,86,0,50,-9999,-9999
3820427,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-06-10,161,0,50,-9999,-9999
3900630,2014-11-25 11:31:45,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-06-23,174,0,50,-9999,-9999
4682511,2014-11-25 11:37:11,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-10-07,280,0,50,-9999,-9999
4682559,2014-11-25 11:37:11,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-11-02,306,0,50,-9999,-9999
4682638,2015-08-10 10:58:11,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-11-24,328,0,50,-9999,-9999
6141104,-9999,12691,40.691994,-124.140717,24,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,56375,501,Open flowers,2014-07-31,212,0,50,-9999,-9999
3337135,-9999,1559,39.289673,-123.373718,212,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,60709,501,Open flowers,2014-03-09,68,0,50,-9999,-9999
3438181,-9999,1559,39.289673,-123.373718,212,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,60709,501,Open flowers,2014-04-03,93,1,50,-9999,-9999
3655608,2015-02-18 16:37:34,1559,39.289673,-123.373718,212,CA,1,Acer,macrophyllum,bigleaf maple,Plantae,60709,501,Open flowers,2014-05-09,129,1,50,-9999,-9999
3252105,-9999,16578,47.303532,-122.525436,62,WA,1,Acer,macrophyllum,bigleaf maple,Plantae,63472,501,Open flowers,2014-02-10,41,0,50,-9999,-9999
