observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
16721512,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-05-03,123,0,-9999,-9999,-9999
16771654,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-05-07,127,0,-9999,-9999,-9999
16846646,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-05-14,134,0,-9999,-9999,-9999
16955811,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-05-24,144,0,-9999,-9999,-9999
17023656,2019-05-31 11:51:18,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-05-31,151,0,-9999,-9999,-9999
17164094,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-06-07,158,0,-9999,-9999,-9999
17237326,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-06-13,164,0,-9999,-9999,-9999
17290404,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-06-22,173,0,-9999,-9999,-9999
17444688,-9999,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-07-13,194,0,50,-9999,-9999
25003656,2021-02-23 14:45:11,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-07-06,187,0,50,-9999,-9999
25003743,2021-02-23 14:45:11,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-07-20,201,0,50,-9999,-9999
25003980,2021-02-23 14:50:49,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-07-26,207,0,50,-9999,-9999
25004067,2021-02-23 14:50:49,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-08-01,213,0,50,-9999,-9999
25004184,2021-02-23 14:54:02,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-08-10,222,0,50,-9999,-9999
25004271,2021-02-23 14:54:02,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-08-17,229,0,50,-9999,-9999
25004369,2021-02-23 15:00:30,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-08-24,236,0,50,-9999,-9999
25004456,2021-02-23 15:00:30,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-08-30,242,0,50,-9999,-9999
25005521,2021-02-23 16:07:51,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-09-07,250,0,50,-9999,-9999
25005608,2021-02-23 16:07:51,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-09-14,257,0,50,-9999,-9999
25006400,2021-02-23 16:11:29,5951,45.407852,-93.199257,275,MN,27,Populus,tremuloides,quaking aspen,Plantae,3204,501,Open flowers,2019-09-19,262,0,50,-9999,-9999
