observation_id,update_datetime,site_id,latitude,longitude,elevation_in_meters,state,species_id,genus,species,common_name,kingdom,individual_id,phenophase_id,phenophase_description,observation_date,day_of_year,phenophase_status,intensity_category_id,intensity_value,abundance_value
839341,-9999,637,44.34095,-72.46122,518,VT,97,Betula,alleghaniensis,yellow birch,Plantae,1939,483,Leaves,2011-03-17,76,0,-9999,-9999,-9999
839511,-9999,637,44.34095,-72.46122,518,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2003,483,Leaves,2011-03-17,76,0,-9999,-9999,-9999
839639,-9999,637,44.34095,-72.46122,518,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2017,483,Leaves,2011-03-17,76,0,-9999,-9999,-9999
834130,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-03-26,85,0,12,-9999,-9999
834396,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-01,91,0,12,-9999,-9999
834660,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-03-18,77,0,-9999,-9999,-9999
834890,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-14,104,0,12,-9999,-9999
835146,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-12,102,0,12,-9999,-9999
835402,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-26,116,0,12,-9999,-9999
835658,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-28,118,0,12,-9999,-9999
838483,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-04-30,120,0,12,-9999,-9999
838749,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2771,483,Leaves,2011-05-14,134,0,12,-9999,-9999
834152,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-03-26,85,0,12,-9999,-9999
834418,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-01,91,0,12,-9999,-9999
834680,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-03-18,77,0,-9999,-9999,-9999
834912,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-14,104,0,12,-9999,-9999
835168,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-12,102,0,12,-9999,-9999
835424,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-26,116,0,12,-9999,-9999
835680,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-28,118,0,12,-9999,-9999
838505,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-04-30,120,0,12,-9999,-9999
838771,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2772,483,Leaves,2011-05-14,134,0,12,-9999,-9999
834174,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-03-26,85,0,12,-9999,-9999
834440,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-01,91,0,12,-9999,-9999
834700,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-03-18,77,0,-9999,-9999,-9999
834934,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-14,104,0,12,-9999,-9999
835190,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-12,102,0,12,-9999,-9999
835446,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-26,116,0,12,-9999,-9999
835702,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-28,118,0,12,-9999,-9999
838527,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-04-30,120,0,12,-9999,-9999
838793,-9999,1550,44.341782,-72.461853,457,VT,97,Betula,alleghaniensis,yellow birch,Plantae,2773,483,Leaves,2011-05-14,134,1,12,Less than 5%,-9999
753428,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-04-14,104,0,12,-9999,-9999
753574,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-04-21,111,0,12,-9999,-9999
753720,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-04-12,102,0,12,-9999,-9999
755839,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-04-28,118,0,12,-9999,-9999
755985,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-05-04,124,1,12,Less than 5%,-9999
784143,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-05-11,131,1,12,95% or more,-9999
784289,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-05-19,139,1,12,95% or more,-9999
784484,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-06-02,153,1,12,95% or more,-9999
784667,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-06-09,160,1,12,95% or more,-9999
784815,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-07-19,200,1,12,95% or more,-9999
784961,-9999,5281,40.710247,-77.956192,368,PA,97,Betula,alleghaniensis,yellow birch,Plantae,10797,483,Leaves,2011-08-21,233,1,12,95% or more,-9999
558620,-9999,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,483,Leaves,2011-03-25,84,0,12,-9999,-9999
559326,-9999,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,483,Leaves,2011-03-31,90,0,12,-9999,-9999
560716,-9999,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,483,Leaves,2011-04-04,94,0,12,-9999,-9999
563201,-9999,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,483,Leaves,2011-04-08,98,0,12,-9999,-9999
563212,-9999,5952,45.407852,-93.200974,281,MN,97,Betula,alleghaniensis,yellow birch,Plantae,10807,483,Leaves,2011-04-11,101,0,12,-9999,-9999
